ds,y,z_score,anomaly
2022-01-01,294517,4.119497481598486,Yes
2022-01-03,170816,0.3025293099214597,No
2022-01-04,170989,0.30786746800991593,No
2022-01-05,284200,3.8011519498146535,Yes
2022-01-06,142254,-0.5787913335611251,No
2022-01-07,140008,-0.6480948194956495,No
2022-01-08,145977,-0.4639129372413414,No
2022-01-09,149074,-0.368350650536434,No
2022-01-10,149720,-0.348417412818846,No
2022-01-11,168855,0.2420198994505771,No
2022-01-12,168605,0.2343057981666808,No
2023-01-01,147284,-0.4235836157291315,No
2023-01-02,144329,-0.5147642929047859,No
2023-01-03,171192,0.31413131825243973,No
2023-01-04,172775,0.36297700758207113,No
2023-01-05,145086,-0.4914059942171478,No
2023-01-06,137649,-0.720885079210495,No
2023-01-07,138861,-0.6834871161861658,No
2023-01-08,144023,-0.5242063528762749,No
2023-01-09,145587,-0.4759469352442196,No
2023-01-10,147413,-0.419603139466641,No
2023-01-11,164589,0.11038647514217056,No
2023-01-12,172400,0.3514058556562267,No
2024-01-01,145802,-0.4693128081400688,No
2024-01-02,147180,-0.4267926818632324,No
2024-01-03,173538,0.38652044470052266,No
2024-01-04,167810,0.20977495608389055,No
2024-01-05,149628,-0.3512562020913198,No
2024-01-06,138886,-0.6827157060577761,No
2024-01-07,140925,-0.6197994959863179,No
2024-01-08,146153,-0.4584822099374784,No
2024-01-09,144611,-0.5060627866565508,No
2024-01-10,143227,-0.5487680513642007,No
2024-01-11,170512,0.29314896276024177,No
2024-01-12,173975,0.4000046937447734,No
2025-01-01,148279,-0.3928814926192242,No
2025-01-02,145646,-0.4741264073412201,No
2025-01-03,169443,0.2601634656703012,No
2025-01-04,171928,0.3368416324322304,No
2025-01-05,146717,-0.4410791974410083,No
